51.51509	-0.133648	995392	986584
51.49912	-0.164439	211399	169152
51.406025	0.013156	122444	119792
51.376165	-0.098234	211476	207641
51.525026	-0.3415	91510	87577
51.505203	-0.224475	154503	146619
51.596482	-0.108943	95532	90288
51.580559	-0.341995	88915	75426
51.577076	0.178319	134439	147781
51.5485	-0.479611	91479	89261
51.460922	-0.373149	86726	88312
51.41233	-0.300689	183364	220613
51.556619	0.076251	146053	99758
51.361428	-0.193961	123280	119604
51.536563	0.075766	34030	31854
51.615786	-0.262034	39767	37319
51.453341	0.13822	67766	60129
51.550501	-0.304841	40490	29961
51.537076	-0.191135	39362	36298
51.374843	0.094214	40682	46520
51.539011	-0.142555	56603	59734
51.511073	-0.377232	40908	37839
51.652299	-0.080712	41633	50328
51.451169	0.052639	37333	35047
51.489475	0.067588	51948	45841
51.547623	-0.070113	43934	39521
51.477343	-0.201682	35902	34235
51.491188	-0.223731	34683	33309
51.487627	-0.267173	38180	34534
51.534403	-0.10623	47315	54660
51.516918	-0.068463	49190	44668
51.499766	-0.196499	68799	64241
51.485069	-0.174565	85378	79007
51.461279	-0.115615	49319	45568
51.427871	-0.124058	38727	39332
51.444641	-0.020106	27205	30978
51.441458	-0.011701	69168	66435
51.418339	-0.220629	69022	61688
51.528737	0.055472	36777	37498
51.550174	-0.003371	32556	177670
51.461311	-0.303742	46754	40417
51.474191	-0.069137	55585	54575
51.505431	-0.023533	59087	69355
51.590177	-0.017344	66926	61940
51.465174	-0.170811	51294	44373
51.460574	-0.21718	42149	38089
51.420845	-0.168075	56809	46820
51.457072	-0.181782	35722	36485
51.514628	-0.188005	38194	39680
